iter	Passed	Remaining
0	5	5690
1	14	7388
2	18	6093
3	22	5498
4	26	5350
5	30	5101
6	34	4848
7	37	4655
8	42	4651
9	46	4595
10	49	4485
11	53	4434
12	58	4461
13	62	4402
14	65	4327
15	69	4277
16	73	4276
17	78	4256
18	81	4208
19	85	4174
20	88	4140
21	92	4105
22	95	4067
23	99	4032
24	102	3997
25	108	4066
26	112	4041
27	115	4017
28	119	4005
29	124	4031
30	128	4010
31	131	3987
32	135	3976
33	140	4002
34	144	3981
35	148	3970
36	151	3954
37	156	3970
38	163	4033
39	174	4176
40	177	4153
41	180	4127
42	184	4115
43	188	4100
44	192	4078
45	195	4055
46	202	4101
47	206	4090
48	209	4070
49	213	4059
50	220	4102
51	223	4081
52	227	4061
53	232	4076
54	236	4069
55	240	4051
56	243	4034
57	248	4032
58	252	4029
59	256	4012
60	259	3996
61	264	3994
62	268	3986
63	271	3974
64	275	3963
65	279	3949
66	282	3933
67	285	3918
68	289	3904
69	292	3889
70	298	3903
71	301	3890
72	305	3878
73	308	3864
74	314	3879
75	317	3862
76	321	3849
77	324	3837
78	330	3852
79	334	3843
80	337	3831
81	340	3813
82	346	3828
83	349	3812
84	353	3802
85	356	3790
86	362	3806
87	365	3790
88	368	3774
89	371	3758
90	374	3744
91	377	3729
92	380	3714
93	383	3698
94	386	3683
95	389	3671
96	394	3674
97	397	3661
98	400	3648
99	404	3641
100	409	3648
101	413	3637
102	416	3623
103	419	3618
104	425	3623
105	428	3612
106	431	3598
107	434	3585
108	437	3573
109	441	3572
110	444	3560
111	447	3549
112	450	3537
113	454	3530
114	458	3531
115	461	3519
116	464	3508
117	467	3497
118	471	3488
119	474	3476
120	477	3467
121	480	3457
122	483	3446
123	487	3443
124	491	3439
125	494	3430
126	497	3422
127	501	3418
128	506	3418
129	509	3408
130	512	3399
131	515	3389
132	520	3390
133	523	3382
134	526	3373
135	529	3365
136	533	3359
137	537	3360
138	541	3353
139	544	3346
140	549	3348
141	554	3351
142	558	3347
143	562	3341
144	565	3336
145	569	3330
146	572	3324
147	576	3318
148	580	3313
149	595	3373
150	600	3377
151	604	3369
152	607	3362
153	618	3397
154	625	3410
155	630	3409
156	634	3404
157	637	3396
158	640	3388
159	644	3383
160	648	3381
161	652	3374
162	655	3366
163	659	3359
164	661	3350
165	664	3340
166	667	3331
167	670	3322
168	673	3313
169	679	3315
170	682	3306
171	685	3299
172	688	3290
173	692	3287
174	696	3282
175	699	3274
176	702	3266
177	705	3258
178	710	3258
179	713	3250
180	716	3242
181	719	3234
182	723	3231
183	727	3226
184	730	3218
185	733	3210
186	736	3203
187	741	3203
188	744	3196
189	747	3187
190	751	3182
191	754	3176
192	757	3169
193	761	3162
194	764	3153
195	766	3145
196	770	3139
197	783	3174
198	787	3171
199	791	3167
200	795	3161
201	799	3157
202	803	3154
203	807	3151
204	811	3147
205	817	3150
206	822	3149
207	825	3145
208	830	3142
209	834	3138
210	838	3135
211	842	3130
212	845	3123
213	849	3118
214	852	3111
215	855	3105
216	858	3097
217	861	3090
218	866	3089
219	869	3084
220	872	3077
221	876	3073
222	881	3072
223	885	3069
224	888	3061
225	892	3055
226	897	3055
227	901	3050
228	904	3044
229	907	3037
230	911	3034
231	916	3032
232	919	3026
233	922	3019
234	925	3012
235	930	3012
236	933	3005
237	936	2998
238	939	2992
239	943	2986
240	946	2981
241	949	2975
242	952	2968
243	956	2962
244	960	2959
245	964	2955
246	967	2949
247	970	2942
248	973	2936
249	977	2933
250	980	2927
251	984	2920
252	987	2914
253	991	2911
254	994	2906
255	998	2900
256	1010	2920
257	1013	2914
258	1017	2911
259	1020	2905
260	1035	2931
261	1038	2926
262	1041	2919
263	1044	2913
264	1047	2906
265	1050	2899
266	1055	2897
267	1059	2893
268	1062	2887
269	1065	2881
270	1070	2879
271	1074	2875
272	1077	2869
273	1080	2863
274	1085	2862
275	1089	2859
276	1093	2853
277	1096	2848
278	1100	2843
279	1104	2840
280	1108	2835
281	1111	2829
282	1114	2824
283	1120	2824
284	1123	2819
285	1127	2815
286	1131	2809
287	1134	2803
288	1137	2797
289	1140	2791
290	1143	2785
291	1147	2781
292	1151	2778
293	1154	2772
294	1157	2766
295	1160	2760
296	1165	2758
297	1168	2752
298	1171	2747
299	1175	2741
300	1179	2740
301	1183	2735
302	1186	2730
303	1189	2724
304	1193	2720
305	1198	2718
306	1201	2712
307	1204	2706
308	1207	2700
309	1214	2702
310	1217	2698
311	1220	2692
312	1224	2687
313	1228	2685
314	1232	2679
315	1235	2673
316	1238	2667
317	1241	2662
318	1246	2660
319	1249	2654
320	1252	2649
321	1255	2644
322	1261	2643
323	1264	2637
324	1267	2631
325	1270	2625
326	1273	2621
327	1278	2619
328	1281	2613
329	1284	2608
330	1287	2602
331	1292	2600
332	1295	2595
333	1298	2589
334	1301	2584
335	1305	2579
336	1310	2577
337	1313	2571
338	1316	2566
339	1319	2560
340	1322	2555
341	1325	2550
342	1328	2544
343	1331	2538
344	1334	2533
345	1337	2528
346	1342	2525
347	1345	2520
348	1348	2515
349	1351	2509
350	1355	2506
351	1359	2502
352	1362	2496
353	1365	2490
354	1367	2485
355	1372	2482
356	1376	2478
357	1385	2484
358	1390	2481
359	1393	2476
360	1396	2471
361	1399	2465
362	1403	2462
363	1406	2457
364	1409	2452
365	1412	2446
366	1416	2443
367	1420	2438
368	1423	2433
369	1426	2428
370	1429	2422
371	1435	2423
372	1438	2418
373	1442	2413
374	1445	2408
375	1448	2404
376	1453	2402
377	1456	2396
378	1459	2391
379	1462	2386
380	1467	2383
381	1470	2379
382	1473	2374
383	1476	2369
384	1480	2365
385	1494	2377
386	1500	2377
387	1504	2372
388	1507	2367
389	1510	2363
390	1515	2359
391	1519	2356
392	1522	2351
393	1525	2346
394	1529	2342
395	1534	2340
396	1537	2335
397	1541	2331
398	1545	2327
399	1549	2324
400	1552	2319
401	1556	2315
402	1560	2310
403	1564	2307
404	1568	2303
405	1571	2298
406	1574	2294
407	1579	2292
408	1582	2286
409	1585	2281
410	1588	2276
411	1593	2273
412	1596	2269
413	1599	2264
414	1602	2259
415	1606	2254
416	1609	2249
417	1612	2244
418	1615	2239
419	1618	2234
420	1624	2234
421	1628	2230
422	1631	2225
423	1634	2220
424	1640	2219
425	1644	2215
426	1647	2211
427	1651	2206
428	1655	2203
429	1659	2199
430	1662	2194
431	1665	2189
432	1668	2184
433	1672	2181
434	1676	2177
435	1679	2172
436	1682	2167
437	1686	2163
438	1690	2159
439	1693	2154
440	1696	2150
441	1700	2146
442	1703	2141
443	1706	2136
444	1709	2131
445	1712	2127
446	1715	2122
447	1720	2120
448	1723	2115
449	1726	2110
450	1729	2105
451	1733	2102
452	1737	2098
453	1740	2093
454	1743	2088
455	1746	2083
456	1751	2081
457	1755	2077
458	1763	2078
459	1768	2075
460	1771	2071
461	1774	2066
462	1777	2061
463	1781	2057
464	1785	2053
465	1788	2049
466	1791	2044
467	1794	2040
468	1797	2035
469	1800	2030
470	1803	2025
471	1806	2021
472	1809	2016
473	1814	2013
474	1817	2009
475	1820	2004
476	1823	1999
477	1829	1997
478	1832	1993
479	1835	1988
480	1838	1984
481	1843	1981
482	1847	1977
483	1850	1973
484	1853	1968
485	1856	1963
486	1862	1961
487	1865	1956
488	1868	1952
489	1871	1947
490	1875	1944
491	1879	1940
492	1882	1935
493	1885	1931
494	1888	1926
495	1891	1922
496	1894	1917
497	1897	1912
498	1900	1908
499	1904	1904
500	1908	1900
501	1911	1896
502	1915	1892
